2026-04-26 12:27:30,260 | INFO     | ITS_App:16 | Application starting, connecting MCP clients...
2026-04-26 12:27:31,062 | ERROR    | ITS_App:12 | 百度地图MCP连接失败: unhandled errors in a TaskGroup (1 sub-exception)
2026-04-26 12:28:21,299 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:32:19,621 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:36:18,432 | INFO     | ITS_App:25 | Application starting with MCP disabled
2026-04-26 12:38:00,914 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:00,915 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:00,917 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:00,922 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:22,990 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:22,991 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:38:22,992 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:38:22,993 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:40:00,470 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:40:00,471 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 12:40:00,473 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 12:40:00,475 | WARNING  | ITS_App:93 | 用户目录不存在: 1
2026-04-26 15:21:15,222 | WARNING  | ITS_App:22 | Redis cache disabled: python redis package is not installed
2026-04-26 15:21:15,816 | WARNING  | ITS_App:79 | Vector memory search failed: HTTPSConnectionPool(host='openaipublic.blob.core.windows.net', port=443): Max retries exceeded with url: /encodings/cl100k_base.tiktoken (Caused by NewConnectionError("HTTPSConnection(host='openaipublic.blob.core.windows.net', port=443): Failed to establish a new connection: [WinError 10013] 以一种访问权限不允许的方式做了一个访问套接字的尝试。"))
2026-04-26 15:28:17,288 | WARNING  | ITS_App:22 | Redis cache disabled: Error 13 connecting to 192.168.149.153:6379. 以一种访问权限不允许的方式做了一个访问套接字的尝试。.
2026-04-26 20:20:44,035 | INFO     | ITS_App:42 | Fetching sessions for user 1
2026-04-26 20:20:44,047 | WARNING  | ITS_App:93 | 用户目录不存在: 1
